,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
DM_for_c,0+,++,0,0,++,++,++,++,,0+,+,+,0
H2Ot_e,-+,,-,-,,,-+,,,,,+,0
EX_h2o_e,-+,,+,+,,,-+,,,,,-,0
MTOBTA_c,-0,-0,+,+,,-+,-+,-+,-+,-+,+,0,0
ANTHt_h,-0,-0,-,-,--,--,--,--,--,--,-,0,0
EX_so4_e,-0,-0,-,-,--,--,--,--,--,--,-,0,0
ATPS_m,-+,++,-+,++,++,++,++,++,++,-+,++,++,-+
GCS_m,-+,--,-+,-+,--,--,--,--,,-+,-,-,-+
ALATA_L_c,-+,,-+,,--,--,-+,--,-+,-+,--,--,-+
ALANA1t_m,-+,,-+,,--,--,-+,--,-+,-+,--,--,-+
ALATA_L_m,-+,,-+,,++,++,-+,++,-+,-+,++,++,-+
FTHDF_c,0+,++,0+,0+,++,++,++,++,,0+,++,++,0+
ATPt_m,0+,0+,0+,++,++,++,0+,0+,++,0+,++,0+,0+
PIt_m,-+,-+,-+,++,++,++,-+,-+,++,-+,++,0+,-+
ATP2t_m,0+,0+,0+,++,++,++,0+,0+,++,0+,++,0+,0+
EX_pi_e,-0,-0,-,-,--,--,--,--,--,--,-,0,0
MPCt_m,-+,,-+,,--,--,-+,,-+,-+,--,--,-+
CO2t_m,-+,--,-+,-+,--,--,--,--,,-+,--,--,-0
PRAIC_c,-0,-0,-,-,--,--,--,--,--,--,-,0,0
SAHH_c,-0,-0,-,-,--,--,--,--,--,--,-,0,0
METS_c,-0,-0,-,-,--,--,--,--,--,--,-,0,0
PGAM_h,,++,,++,++,++,++,++,++,,++,++,-+
MTHFC_c,-0,--,-,-,--,--,--,--,--,--,-,-,0
O2t_e,--,--,-,-,--,--,--,--,--,--,-,-,0
CHRL_h,0+,0+,+,+,++,++,++,++,++,++,+,0,0
EX_h_e,-+,,-,-,--,,,,--,,,+,0
IGPS_c,0+,0+,+,+,++,++,++,++,++,++,+,0,0
EX_o2_e,++,++,+,+,++,++,++,++,++,++,+,+,0
PRAI_c,0+,0+,+,+,++,++,++,++,++,++,+,0,0
SO3R_h,0+,0+,+,+,++,++,++,++,++,++,+,0,0
ANPRT_c,0+,0+,+,+,++,++,++,++,++,++,+,0,0
NO3t_e,0+,0+,++,++,++,++,++,++,++,++,++,0+,0+
PHOt_e,++,++,++,++,++,++,++,++,++,++,+,+,++
CA_h,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-0
CA_m,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+
CO2t_e,+,+,+,+,+,+,+,+,+,+,+,+,0
NAHCO3CLt_e,+,+,+,+,+,+,+,+,+,+,+,+,0
